Term,Definition,Термин,Расшифровка
Human,Human IDENA identity status,Человек,Статус личности ИДЕНА — Человек
Verified,Identified IDENA identity status,Верифицированный,Статус личности ИДЕНА — Верифицированный
Newbie,Newbie IDENA identity status,Новичок,Статус личности ИДЕНА — Новичок
Suspended,Suspended IDENA identity status,Приостановленный,Статус личности ИДЕНА — Приостановленный
Zombie,Zombie IDENA identity status,Зомби,Статус личности ИДЕНА — Зомби
